time,open,high,low,close
2020-09-03T08:00:00+08:00,169.5587,169.5587,169.5587,169.5587
2020-09-07T08:00:00+08:00,148.5438,148.5438,148.5438,148.5438
2020-09-08T08:00:00+08:00,149.3349,149.3349,149.3349,149.3349
2020-09-09T08:00:00+08:00,149.3349,149.3349,149.3349,149.3349
2020-09-10T08:00:00+08:00,148.2809,148.2809,148.2809,148.2809
2020-09-11T08:00:00+08:00,151.0098,151.0098,151.0098,151.0098
2020-09-14T08:00:00+08:00,150.5272,150.5272,150.5272,150.5272
2020-09-15T08:00:00+08:00,154.991,154.991,154.991,154.991
2020-09-16T08:00:00+08:00,154.1147,154.1147,154.1147,154.1147
2020-09-17T08:00:00+08:00,155.7874,155.7874,155.7874,155.7874
2020-09-18T08:00:00+08:00,157.2289,157.2289,157.2289,157.2289
2020-09-21T08:00:00+08:00,154.9846,154.9846,154.9846,154.9846
2020-09-22T08:00:00+08:00,146.4715,146.4715,146.4715,146.4715
2020-09-23T08:00:00+08:00,147.9771,147.9771,147.9771,147.9771
2020-09-25T08:00:00+08:00,150.5689,150.5689,150.5689,150.5689
2020-09-28T08:00:00+08:00,152.8699,152.8699,152.8699,152.8699
2020-09-29T08:00:00+08:00,152.0214,152.0214,152.0214,152.0214
2020-09-30T08:00:00+08:00,153.9283,153.9283,153.9283,153.9283
2020-10-01T08:00:00+08:00,153.3682,153.3682,153.3682,153.3682
2020-10-05T08:00:00+08:00,151.0509,151.0509,151.0509,151.0509
2020-10-06T08:00:00+08:00,152.3067,152.3067,152.3067,152.3067
2020-10-08T08:00:00+08:00,149.5978,149.5978,149.5978,149.5978
2020-10-09T08:00:00+08:00,152.9189,152.9189,152.9189,152.9189
2020-10-12T08:00:00+08:00,160.0543,160.0543,160.0543,160.0543
2020-10-13T08:00:00+08:00,162.7126,162.7126,162.7126,162.7126
2020-10-14T08:00:00+08:00,161.0067,161.0067,161.0067,161.0067
2020-10-15T08:00:00+08:00,160.4804,160.4804,160.4804,160.4804
2020-10-16T08:00:00+08:00,160.7632,160.7632,160.7632,160.7632
2020-10-20T08:00:00+08:00,162.314,162.314,162.314,162.314
2020-10-21T08:00:00+08:00,162.1822,162.1822,162.1822,162.1822
2020-10-22T08:00:00+08:00,172.8566,172.8566,172.8566,172.8566
2020-10-23T08:00:00+08:00,176.3436,176.3436,176.3436,176.3436
2020-10-26T08:00:00+08:00,176.972,176.972,176.972,176.972
